usb_code,usb_keycode,keyboardevent_code,keyboardevent_keycode,display_name
KEY_NONE, 0x00,,,ERR
KEY_ERR_OVF, 0x01,,,
KEY_A, 0x04,KeyA,0x41,A
KEY_B, 0x05,KeyB,0x42,B
KEY_C, 0x06,KeyC,0x43,C
KEY_D, 0x07,KeyD,0x44,D
KEY_E, 0x08,KeyE,0x45,E
KEY_F, 0x09,KeyF,0x46,F
KEY_G, 0x0a,KeyG,0x47,G
KEY_H, 0x0b,KeyH,0x48,H
KEY_I, 0x0c,KeyI,0x49,I
KEY_J, 0x0d,KeyJ,0x4A,J
KEY_K, 0x0e,KeyK,0x4B,K
KEY_L, 0x0f,KeyL,0x4C,L
KEY_M, 0x10,KeyM,0x4D,M
KEY_N, 0x11,KeyN,0x4E,N
KEY_O, 0x12,KeyO,0x4F,O
KEY_P, 0x13,KeyP,0x50,P
KEY_Q, 0x14,KeyQ,0x51,Q
KEY_R, 0x15,KeyR,0x52,R
KEY_S, 0x16,KeyS,0x53,S
KEY_T, 0x17,KeyT,0x54,T
KEY_U, 0x18,KeyU,0x55,U
KEY_V, 0x19,KeyV,0x56,V
KEY_W, 0x1a,KeyW,0x57,W
KEY_X, 0x1b,KeyX,0x58,X
KEY_Y, 0x1c,KeyY,0x59,Y
KEY_Z, 0x1d,KeyZ,0x5A,Z
KEY_1, 0x1e,Digit1,0x31,1
KEY_2, 0x1f,Digit2,0x32,2
KEY_3, 0x20,Digit3,0x33,3
KEY_4, 0x21,Digit4,0x34,4
KEY_5, 0x22,Digit5,0x35,5
KEY_6, 0x23,Digit6,0x36,6
KEY_7, 0x24,Digit7,0x37,7
KEY_8, 0x25,Digit8,0x38,8
KEY_9, 0x26,Digit9,0x39,9
KEY_0, 0x27,Digit0,0x30,0
KEY_ENTER, 0x28,Enter,0x0D,Enter
KEY_ESC, 0x29,Escape,0x1B,Escape
KEY_BACKSPACE, 0x2a,Backspace,0x08,Backspace
KEY_TAB, 0x2b,Tab,0x09,?
KEY_SPACE, 0x2c,Space,0x20,Space
KEY_MINUS, 0x2d,Minus,0xBD,-
KEY_EQUAL, 0x2e,Equal,0xBB ,=
KEY_LEFTBRACE, 0x2f,BracketLeft,0xDB ,[
KEY_RIGHTBRACE, 0x30,BracketRight,0xDD,]
KEY_BACKSLASH, 0x31,Backslash,0xDC,\
KEY_HASHTILDE, 0x32,,,
KEY_SEMICOLON, 0x33,Semicolon,0xBA,;
KEY_APOSTROPHE, 0x34,Quote,0xDE,""""
KEY_GRAVE, 0x35,Backquote,0xC0,`
KEY_COMMA, 0x36,Comma,0xBC,","
KEY_DOT, 0x37,Period,0xBE,.
KEY_SLASH, 0x38,Slash,0xBF,/
KEY_CAPSLOCK, 0x39,CapsLock,0x14,??
KEY_F1, 0x3a,F1,0x70,F1
KEY_F2, 0x3b,F2,0x71,F2
KEY_F3, 0x3c,F3,0x72,F3
KEY_F4, 0x3d,F4,0x73,F4
KEY_F5, 0x3e,F5,0x74,F5
KEY_F6, 0x3f,F6,0x75,F6
KEY_F7, 0x40,F7,0x76,F7
KEY_F8, 0x41,F8,0x77,F8
KEY_F9, 0x42,F9,0x78,F9
KEY_F10, 0x43,F10,0x79,F10
KEY_F11, 0x44,F11,0x7A,F11
KEY_F12, 0x45,F12,0x7B,F12
KEY_SYSRQ, 0x46,,,
KEY_SCROLLLOCK, 0x47,ScrollLock,0x91,ScLk
KEY_PAUSE, 0x48,Pause,0x13,Pause
KEY_INSERT, 0x49,Insert,0x2D,Insert
KEY_HOME, 0x4a,Home,0x24,Home
KEY_PAGEUP, 0x4b,PageUp,0x21,PgUp
KEY_DELETE, 0x4c,Delete,0x2E,Del
KEY_END, 0x4d,End,0x23,End
KEY_PAGEDOWN, 0x4e,PageDown,0x22,PgDn
KEY_RIGHT, 0x4f,ArrowRight,0x27,Right
KEY_LEFT, 0x50,ArrowLeft,0x25,Left
KEY_DOWN, 0x51,ArrowDown,0x28,Down
KEY_UP, 0x52,ArrowUp,0x26,Up
KEY_NUMLOCK, 0x53,NumLock,0x90,NumLock
KEY_KPSLASH, 0x54,NumpadDivide,0x6F,[
KEY_KPASTERISK, 0x55,NumpadMultiply,0x6A,Num*
KEY_KPMINUS, 0x56,NumpadSubtract,0x6D,Num-
KEY_KPPLUS, 0x57,NumpadAdd,0x6B,Num+
KEY_KPENTER, 0x58,NumpadEnter,0x0D,NumEnter
KEY_KP1, 0x59,Numpad1,0x61,Num1
KEY_KP2, 0x5a,Numpad2,0x62,Num2
KEY_KP3, 0x5b,Numpad3,0x63,Num3
KEY_KP4, 0x5c,Numpad4,0x64,Num4
KEY_KP5, 0x5d,Numpad5,0x65,Num5
KEY_KP6, 0x5e,Numpad6,0x66,Num6
KEY_KP7, 0x5f,Numpad7,0x67,Num7
KEY_KP8, 0x60,Numpad8,0x68,Num8
KEY_KP9, 0x61,Numpad9,0x69,Num9
KEY_KP0, 0x62,Numpad0,0x60,Num10
KEY_KPDOT, 0x63,NumpadDecimal,0xC2,NumDecimal
KEY_102ND, 0x64,,,
KEY_COMPOSE, 0x65,,,
KEY_POWER, 0x66,,,
KEY_KPEQUAL, 0x67,NumpadEqual,0x0C,Num=
KEY_F13, 0x68,F13,0x7C,F13
KEY_F14, 0x69,F14,0x7D,F14
KEY_F15, 0x6a,F15,0x7E,F15
KEY_F16, 0x6b,F16,0x7F,F16
KEY_F17, 0x6c,F17,0x80,F17
KEY_F18, 0x6d,F18,0x81,F18
KEY_F19, 0x6e,F19,0x82,F19
KEY_F20, 0x6f,F20,0x83,F20
KEY_F21, 0x70,F21,0x84,F21
KEY_F22, 0x71,F22,0x85,F22
KEY_F23, 0x72,F23,0x86,F23
KEY_F24, 0x73,F24,0x87,F24
KEY_OPEN, 0x74,,,
KEY_HELP, 0x75,,,
KEY_PROPS, 0x76,,,
KEY_FRONT, 0x77,,,
KEY_STOP, 0x78,,,
KEY_AGAIN, 0x79,,,
KEY_UNDO, 0x7a,,,
KEY_CUT, 0x7b,,,
KEY_COPY, 0x7c,,,
KEY_PASTE, 0x7d,,,
KEY_FIND, 0x7e,,,
KEY_MUTE, 0x7f,Mute,0xAD,Mute
KEY_VOLUMEUP, 0x80,VolumeUp,0xAF,VolUp
KEY_VOLUMEDOWN, 0x81,VolumeDown,0xAE,VolDown
KEY_KPCOMMA, 0x85,NumpadComma,0xC2,NumComma
KEY_RO, 0x87,,,
KEY_KATAKANAHIRAGANA, 0x88,,,
KEY_YEN, 0x89,,,
KEY_HENKAN, 0x8a,,,
KEY_MUHENKAN, 0x8b,,,
KEY_KPJPCOMMA, 0x8c,,,
KEY_HANGEUL, 0x90,,,
KEY_HANJA, 0x91,,,
KEY_KATAKANA, 0x92,,,
KEY_HIRAGANA, 0x93,,,
KEY_ZENKAKUHANKAKU, 0x94,,,
KEY_KPLEFTPAREN, 0xb6,,,
KEY_KPRIGHTPAREN, 0xb7,,,
KEY_LEFTCTRL, 0xe0,,,
KEY_LEFTSHIFT, 0xe1,,,
KEY_LEFTALT, 0xe2,,,
KEY_LEFTMETA, 0xe3,,,
KEY_RIGHTCTRL, 0xe4,,,
KEY_RIGHTSHIFT, 0xe5,,,
KEY_RIGHTALT, 0xe6,,,
KEY_RIGHTMETA, 0xe7,,,
KEY_MEDIA_PLAYPAUSE, 0xe8,,,
KEY_MEDIA_STOPCD, 0xe9,,,
KEY_MEDIA_PREVIOUSSONG, 0xea,,,
KEY_MEDIA_NEXTSONG, 0xeb,,,
KEY_MEDIA_EJECTCD, 0xec,,,
KEY_MEDIA_VOLUMEUP, 0xed,,,
KEY_MEDIA_VOLUMEDOWN, 0xee,,,
KEY_MEDIA_MUTE, 0xef,,,
KEY_MEDIA_WWW, 0xf0,,,
KEY_MEDIA_BACK, 0xf1,,,
KEY_MEDIA_FORWARD, 0xf2,,,
KEY_MEDIA_STOP, 0xf3,,,
KEY_MEDIA_FIND, 0xf4,,,
KEY_MEDIA_SCROLLUP, 0xf5,,,
KEY_MEDIA_SCROLLDOWN, 0xf6,,,
KEY_MEDIA_EDIT, 0xf7,,,
KEY_MEDIA_SLEEP, 0xf8,,,
KEY_MEDIA_COFFEE, 0xf9,,,
KEY_MEDIA_REFRESH, 0xfa,,,
KEY_MEDIA_CALC, 0xfb,,,
